name,id,date,text,polarity,retweet,fav,Animesh 
KingJames,9.66E+17,22-02-2018 00:26,b'@RAVIEB @pr_RWTW They look so good! Palm trees \xf0\x9f\x8c\xb4',4,341,5178,4
,,,,,,,
KingJames,9.66E+17,20-02-2018 02:30,b'@AntDavis23 @verizon \xf0\x9f\x92\xafwe\xe2\x80\x99ll be playing an ASG like this one day. Sheesh!! \xf0\x9f\x98\x8e https://t.co/0FOjSmkJ9h',0,669,7906,0
,,,,,,,
KingJames,9.65E+17,18-02-2018 19:37,b'RT @KlutchSports: Great times celebrating at our annual \xe2\x80\x9cThe Game Is Everything\xe2\x80\x9d All-Star Dinner! @BenSimmons25 @RealTristan13 @JohnWall @K\xe2\x80\xa6',4,624,0,4
,,,,,,,
KingJames,9.65E+17,18-02-2018 16:47,"b""RT @NBATV: The @Warriors' @Money23Green gives NBA TV a behind-the-scenes tour of @mavcarter's @uninterrupted studio in Los Angeles! #NBAAll\xe2\x80\xa6""",0,469,0,0
,,,,,,,
KingJames,9.65E+17,18-02-2018 04:52,b'Super dope and crazy varsity jacket @kevinlove!! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/WnTdkaFo04',-4,2016,21438,0
,,,,,,,
KingJames,9.65E+17,18-02-2018 03:45,b'RT @BlazePizza: @LJFamFoundation @KingJames Thanks for the love! So glad you stopped by and we hope everyone had a great time!',4,84,0,4
,,,,,,,
KingJames,9.65E+17,18-02-2018 03:45,"b'RT @LJFamFoundation: ALL-STAR | @Blazepizza with the #CLUTCH HOOK UP \xf0\x9f\x92\xaa\xf0\x9f\x94\xa5. To @kingjames, you\xe2\x80\x99re a favorite spot, but to his 330 Ambassadors,\xe2\x80\xa6'",4,93,0,4
,,,,,,,
KingJames,9.65E+17,18-02-2018 03:45,b'RT @LJFamFoundation: #NBAAllStar | @kingjames continues to use All-Star as a vehicle to bring one-of-a-kind experiences to his 330 Ambassad\xe2\x80\xa6',0,239,0,4
,,,,,,,
KingJames,9.65E+17,18-02-2018 03:45,b'Freaking amazing man!!!!! Unbelievable time for father and son! WOW https://t.co/b0PoumJ3eM',4,50157,225771,4
,,,,,,,
KingJames,9.65E+17,18-02-2018 03:44,"b'RT @LJFamFoundation: #NBAAllStar | \xf0\x9f\x91\x80\xf0\x9f\x91\x80 LeBron\xe2\x80\x99s 330 Ambassadors take a hard-earned break to watch @teamlebron practice. After all, it wouldn\xe2\x80\xa6'",0,169,0,0
,,,,,,,
KingJames,9.65E+17,18-02-2018 03:44,b'Something lite bro!!!! \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.co/beqhWFwYei',0,295,3202,0
,,,,,,,
KingJames,9.65E+17,17-02-2018 03:39,b'#wewillnotshutupanddribble https://t.co/LyenGRKTUE',0,91467,299651,0
,,,,,,,
KingJames,9.65E+17,16-02-2018 18:01,b'Thank you Love you @YaraShahidi!! #LoveOurBlackWomen. All of you are special! \xe2\x9c\xa8\xe2\xad\x90\xef\xb8\x8f please remember and know that \xf0\x9f\x91\xb8\xf0\x9f\x8f\xbd\xe2\x80\xa6 https://t.co/5VRFJZ4HBk',4,4843,21510,4
,,,,,,,
KingJames,9.64E+17,15-02-2018 18:14,b'RT @KDTrey5: Rolling with @carichampion @kingjames: https://t.co/uRkwepGMc0 https://t.co/cmEE5YHpef',0,2889,0,4
,,,,,,,
KingJames,9.64E+17,15-02-2018 18:13,b'\xf0\x9f\x92\xaf https://t.co/RkO6JzYHli',0,17817,58498,0
,,,,,,,
KingJames,9.64E+17,15-02-2018 18:09,b'\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xe2\x9c\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbe\xf0\x9f\x91\x91 https://t.co/HeFzH647fv',0,975,5406,0
,,,,,,,
KingJames,9.63E+17,13-02-2018 17:08,b'This is gonna be fun!! Stephen and Jamal are so talented. Very excited to work with them on this. Stay tuned!\xe2\x80\xa6 https://t.co/VMAshhXCXD',4,2232,10692,4
,,,,,,,
KingJames,9.63E+17,13-02-2018 15:33,b'Beautiful Black Empowered Women!! Love y\xe2\x80\x99all!! \xe2\x9d\xa4\xef\xb8\x8f https://t.co/dTXqTNeceV',4,13789,59533,4
,,,,,,,
KingJames,9.62E+17,10-02-2018 19:39,b'\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5. Yeah glad you kept those tucked https://t.co/Y1eocdAIZI',4,4297,38729,4
,,,,,,,
KingJames,9.62E+17,10-02-2018 05:55,"b""RT @NBA: LeBron's #NBAKicks in ATL. https://t.co/3m94adb4sH""",0,1496,0,0
,,,,,,,
KingJames,9.62E+17,10-02-2018 05:51,"b'RT @SoleCollector: #SoleWatch: @KingJames debuts the ""Diamond Turf"" Nike LeBron 15 in red. https://t.co/cgTbMYsR28'",0,626,0,0
,,,,,,,
KingJames,9.62E+17,09-02-2018 01:14,b'\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x92\xb5\xf0\x9f\x94\xa5\xf0\x9f\x98\x8d\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbe https://t.co/S3YpaAig4R',0,840,8482,0
,,,,,,,
KingJames,9.62E+17,09-02-2018 01:13,"b'RT @verizon: Every day, first responders all over the country answer the call. Now it\xe2\x80\x99s our turn to give them the thanks they deserve. #All\xe2\x80\xa6'",4,938,0,4
,,,,,,,
KingJames,9.62E+17,09-02-2018 01:13,"b'HUGE s/o to @StowStudCo &amp; @STVMAthletics. Cheer, student section, community, men\xe2\x80\x99s &amp; women\xe2\x80\x99s bball, the whole famil\xe2\x80\xa6 https://t.co/otoK1AiwVo'",4,299,2277,4
,,,,,,,
KingJames,9.62E+17,08-02-2018 15:35,b'Happy Gday my G!! \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x8e\x82\xf0\x9f\x8e\x8a\xf0\x9f\x8e\x89\xf0\x9f\x92\xaf https://t.co/JU74XvZF0I',4,302,5177,4
,,,,,,,
KingJames,9.61E+17,07-02-2018 13:17,b'#Facts \xf0\x9f\x92\xaf Embrace the struggle! Salute and congrats on that performance and Ring in the big dance @NFoles_9 https://t.co/i4fq9QcSge',0,11596,44361,0
,,,,,,,
KingJames,9.61E+17,07-02-2018 04:15,b'Was hoping for the best news when I saw the play after the game. \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f!! Best wishes and have a speedy healthy reco\xe2\x80\xa6 https://t.co/BlHCfVS5Z4',4,7953,47887,4
,,,,,,,
KingJames,9.61E+17,06-02-2018 04:20,b'50K mins played though @swish41?!?!? Sheesh bro that\xe2\x80\x99s insane. Congrats man! That\xe2\x80\x99s what you call punching in your clock daily!',-4,6523,49178,-4
,,,,,,,
KingJames,9.61E+17,05-02-2018 19:42,b'@Eagles @LG_Blount *Wait',0,421,4262,0
,,,,,,,
KingJames,9.60E+17,05-02-2018 03:21,"b'Hold What A Min, Y\xe2\x80\x99all thought I was finish! #FreeMeek, Congrats @Eagles and the whole city of Philadelphia on thei\xe2\x80\xa6 https://t.co/GaYHUce723'",4,17140,62951,4
,,,,,,,
KingJames,9.60E+17,05-02-2018 03:19,b'#FreeMeek',0,102133,199204,0
,,,,,,,
KingJames,9.60E+17,05-02-2018 03:17,b'This is one incredible game to say the least obviously!! AMAZING #SuperBowl2018',4,4138,23919,4
,,,,,,,
KingJames,9.60E+17,05-02-2018 03:03,b'WOW!!!!!!!',4,9330,42800,4
,,,,,,,
KingJames,9.60E+17,04-02-2018 15:08,b'Best of luck to both the @Patriots &amp; @Eagles today in the Granddaddy of them all! May the best team be victorious \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe #SuperBowl',4,4675,37239,4
,,,,,,,
KingJames,9.60E+17,04-02-2018 14:51,b'Salute and congrats to two of my favorites of All-Time @RandyMoss &amp; @terrellowens on the HOF nod! Well damn deserve\xe2\x80\xa6 https://t.co/uMngrzllVH',0,2226,14053,4
,,,,,,,
KingJames,9.59E+17,01-02-2018 15:59,b'S/o to all my #ipromise kids &amp; families \xe2\x98\x9d\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbe\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbe\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbe\xf0\x9f\x94\xa5!! @ljfamfoundaton #WeAreFamily https://t.co/rTRBNpcHMl',0,1121,10635,0
,,,,,,,
KingJames,9.59E+17,31-01-2018 04:28,b'Congrats to my bro @DwyaneWade on passing Larry the Legend Bird in the all time scoring list! #FlashDance\xe2\x9a\xa1\xef\xb8\x8f',0,6389,46794,4
,,,,,,,
KingJames,9.59E+17,31-01-2018 04:24,b'C\xe2\x80\x99mon @JHarden13!!! Now that\xe2\x80\x99s insane G! 60 point Triple Dub. Sheesh!!! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',-4,25102,126927,-4
,,,,,,,
KingJames,9.58E+17,29-01-2018 15:54,"b'Happy Gday to one of my day 1s @DruOnDemand!!! Love bro, enjoy your day my brother!! #LiveLaughLove'",4,541,6842,4
,,,,,,,
KingJames,9.58E+17,29-01-2018 01:39,b'Happy Bday Coach Pop!! One of the best to ever do(in my opinion thee best) and even more great guy! #Respect',4,11734,69364,4
,,,,,,,
KingJames,9.58E+17,28-01-2018 18:39,b'@JColeNC *aint the same',0,571,4429,-4
,,,,,,,
KingJames,9.58E+17,28-01-2018 17:13,b'Happy Bday to one of the best MC\xe2\x80\x99s ever @JColeNC! All we know they sit the same \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xe2\x9c\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x91\x91 https://t.co/XnFWtqpsI8',4,20488,53196,4
,,,,,,,
KingJames,9.57E+17,28-01-2018 04:18,b'I do get to pick who starts on my #TeamLeBron team since I had an injury on my team correct?!?! By the @Yg_Trece happy to have u bro!!',4,5672,36835,0
,,,,,,,
KingJames,9.57E+17,28-01-2018 03:52,b'@KyrieIrving &amp; @StephenCurry30 just simply amazing!! Sheesh man! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',4,18337,57360,4
,,,,,,,
KingJames,9.57E+17,27-01-2018 23:50,b'Prayers sent to @FlyDre21! Hope you gone be good homie. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe',4,4401,22142,4
,,,,,,,
KingJames,9.57E+17,27-01-2018 23:43,b'25K large!!!!! Congrats my brother @carmeloanthony #WalkingBuckets',4,6686,38272,4
,,,,,,,
KingJames,9.57E+17,27-01-2018 18:53,b'#WeAreFamily\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe https://t.co/0wiGGUus5k',0,345,3432,0
,,,,,,,
KingJames,9.57E+17,27-01-2018 18:50,b'\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe https://t.co/CoBg8t2ktz',0,3234,18292,0
,,,,,,,
KingJames,9.57E+17,27-01-2018 04:07,b'Thoughts out to @boogiecousins! Hope you good big fella. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe',4,13434,68761,4
,,,,,,,
KingJames,9.57E+17,26-01-2018 00:34,b'RT @uninterrupted: \xf0\x9f\x91\x80 https://t.co/pUeSSelR0V',0,2758,0,0
,,,,,,,
KingJames,9.57E+17,25-01-2018 21:01,b'\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe https://t.co/tBML5X6WYa',0,2123,9421,0
,,,,,,,
KingJames,9.57E+17,25-01-2018 21:01,b'Thank you! \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbe https://t.co/iMGofUVHNq',0,462,4494,0
,,,,,,,
KingJames,9.57E+17,25-01-2018 21:00,b'\xe2\x98\x9d\xf0\x9f\x8f\xbe #StriveForGreatness \xf0\x9f\x9a\x80 https://t.co/u5jMoUEN79',0,834,4423,0
,,,,,,,
KingJames,9.57E+17,25-01-2018 20:21,b'Yo @StephenCurry30 that was fun!! Definitely should\xe2\x80\x99ve been televised. \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f #AllStarDraft\xe2\xad\x90\xef\xb8\x8f',4,23734,111044,4
,,,,,,,
KingJames,9.56E+17,24-01-2018 15:40,"b'Thank you, Thank you, Thank you to all my family, friends, colleagues, business partners and fans for reaching out\xe2\x80\xa6 https://t.co/LobQVjOaIh'",0,15473,90787,4
,,,,,,,
KingJames,9.56E+17,23-01-2018 05:09,b'Yo @boogiecousins chill out man!! Sheesh!!! Super sick stat line',-4,12397,79722,0
,,,,,,,
KingJames,9.55E+17,20-01-2018 15:17,b'\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3! U forgot Teen \xf0\x9f\x90\xba too. https://t.co/lUGigkAJL9',0,8661,46334,0
,,,,,,,
KingJames,9.55E+17,20-01-2018 04:30,b'Just trying to be remembered and leave a mark on the game. Truly honored and blessed! \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x91\x91#StriveForGreatness\xf0\x9f\x9a\x80 https://t.co/I0ZULtrILJ',-4,8053,42955,4
,,,,,,,
KingJames,9.54E+17,19-01-2018 19:20,b'\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x91\x91 https://t.co/Qj24sUqUNN',0,7361,41092,0
,,,,,,,
KingJames,9.54E+17,19-01-2018 03:34,b'Man was I garbage tonight! \xf0\x9f\xa4\xa2\xf0\x9f\x92\xa9\xf0\x9f\xa4\xae\xf0\x9f\x98\xb7!!!! Thank God for teammates. Appreciate it fellas \xe2\x9c\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe#StriveForGreatness\xf0\x9f\x9a\x80',0,10520,83389,4
,,,,,,,
KingJames,9.54E+17,17-01-2018 15:00,b'Happy Gday to my brother from another @DwyaneWade!! Been my dog since we started this journey almost 15 years ago.\xe2\x80\xa6 https://t.co/1v85vm2brW',4,8935,55385,4
,,,,,,,
KingJames,9.53E+17,15-01-2018 13:56,b'-Injustice Anywhere Is A Threat To Justice Everywhere-  Our Lives Begin To End The Day We Become Silent About Thing\xe2\x80\xa6 https://t.co/YgsYFMa4wb',0,19504,67774,-4
,,,,,,,
KingJames,9.53E+17,14-01-2018 14:29,"b'In my own words, unscripted. \xf0\x9f\x91\x91UNTIL WE ALL WIN #EQUALITY https://t.co/iy3fF40az8'",4,16125,50831,0
,,,,,,,
KingJames,9.52E+17,13-01-2018 06:25,"b""Man just landed back in Cleveland and I have to say in the 29 years I've lived here this is the coldest I've felt i\xe2\x80\xa6 https://t.co/aZE2in9sIw""",0,4126,47747,0
,,,,,,,
KingJames,9.52E+17,13-01-2018 03:34,b'Definitely stepped out by a tiny bit after seeing it over again! Great call. Needed to be in OKC on that drive. Lol. Live and you Learn',4,13286,79042,4
,,,,,,,
KingJames,9.52E+17,12-01-2018 22:03,"b'RT @AC360: ""Let me be clear.... the people of Haiti have been through more, withstood more, fought back against more injustice... than our\xe2\x80\xa6'",4,94912,0,0
,,,,,,,
KingJames,9.52E+17,12-01-2018 22:03,"b'RT @CNN: ""Not racial. Not racially charged. Racist. ... The sentiment the President expressed today is a racist sentiment."" Anderson Cooper\xe2\x80\xa6'",0,15526,0,0
,,,,,,,
KingJames,9.52E+17,11-01-2018 20:40,b'#NBAVote my lil bro @BenSimmons25! He definitely got next',0,25595,45510,0
,,,,,,,
KingJames,9.52E+17,11-01-2018 20:39,b'#NBAVote my bro aka Yellow @carmeloanthony!!',0,5580,11151,0
,,,,,,,
